discourse,link,datetime,id,file
Discurso de rendición de cuentas 2026 del presidente Luis Abinader,https://presidencia.gob.do/discursos/discurso-de-rendicion-de-cuentas-2026-del-presidente-luis-abinader,2026-02-26T23:00:00Z,discurso_de_rendicin_de_cuentas_2026_del_presidente_luis_abinader,data/raw/discursos/discurso_de_rendicin_de_cuentas_2026_del_presidente_luis_abinader.pdf
Discurso presidente Abinader donde anuncia 15 medidas para enfrentar la migración ilegal,https://presidencia.gob.do/discursos/discurso-presidente-abinader-donde-anuncia-15-medidas-para-enfrentar-la-migracion-ilegal,2025-04-05T22:00:00Z,discurso_presidente_abinader_donde_anuncia_15_medidas_para_enfrentar_la_migracin_ilegal,data/raw/discursos/discurso_presidente_abinader_donde_anuncia_15_medidas_para_enfrentar_la_migracin_ilegal.pdf
Discurso de rendición de cuentas 2025 del presidente Luis Abinader,https://presidencia.gob.do/discursos/discurso-de-rendicion-de-cuentas-2025-del-presidente-luis-abinader,2025-02-26T23:00:00Z,discurso_de_rendicin_de_cuentas_2025_del_presidente_luis_abinader,data/raw/discursos/discurso_de_rendicin_de_cuentas_2025_del_presidente_luis_abinader.pdf
"Discurso del presidente Luis Abinader en la Conferencia de Energía y Expo sobre la Cadena de Suministro, Guyana 2025.",https://presidencia.gob.do/discursos/discurso-del-presidente-luis-abinader-en-la-conferencia-de-energia-y-expo-sobre-la-cadena,2025-02-17T23:00:00Z,discurso_del_presidente_luis_abinader_en_la_conferencia_de_energa_y_expo_sobre_la_cadena_de_suministro_guyana_2025,data/raw/discursos/discurso_del_presidente_luis_abinader_en_la_conferencia_de_energa_y_expo_sobre_la_cadena_de_suministro_guyana_2025.pdf
Discurso del presidente Luis Abinader en acto apoyo a la Democracia en Venezuela,https://presidencia.gob.do/discursos/discurso-del-presidente-luis-abinader-en-acto-apoyo-la-democracia-en-venezuela,2025-01-08T23:00:00Z,discurso_del_presidente_luis_abinader_en_acto_apoyo_a_la_democracia_en_venezuela,data/raw/discursos/discurso_del_presidente_luis_abinader_en_acto_apoyo_a_la_democracia_en_venezuela.pdf
Discurso del presidente Luis Abinader en acto de proclamación de la nueva Constitución dominicana,https://presidencia.gob.do/discursos/discurso-del-presidente-luis-abinader-en-acto-de-proclamacion-de-la-nueva-constitucion,2024-10-26T22:00:00Z,discurso_del_presidente_luis_abinader_en_acto_de_proclamacin_de_la_nueva_constitucin_dominicana,data/raw/discursos/discurso_del_presidente_luis_abinader_en_acto_de_proclamacin_de_la_nueva_constitucin_dominicana.pdf
Discurso del presidente Luis Abinader donde anuncia el retiro del Proyecto de Ley de Modernización Fiscal,https://presidencia.gob.do/discursos/discurso-del-presidente-luis-abinader-donde-anuncia-el-retiro-del-proyecto-de-ley-de,2024-10-18T22:00:00Z,discurso_del_presidente_luis_abinader_donde_anuncia_el_retiro_del_proyecto_de_ley_de_modernizacin_fiscal,data/raw/discursos/discurso_del_presidente_luis_abinader_donde_anuncia_el_retiro_del_proyecto_de_ley_de_modernizacin_fiscal.pdf
"Discurso del presidente Luis Abinader ante la ""79ª sesión de la Asamblea General de la ONU""",https://presidencia.gob.do/discursos/discurso-del-presidente-luis-abinader-ante-la-79a-sesion-de-la-asamblea-general-de-la-onu,2024-09-24T22:00:00Z,discurso_del_presidente_luis_abinader_ante_la_79_sesin_de_la_asamblea_general_de_la_onu,data/raw/discursos/discurso_del_presidente_luis_abinader_ante_la_79_sesin_de_la_asamblea_general_de_la_onu.pdf
Discurso de la toma de posesión 2024 del presidente Luis Abinader,https://presidencia.gob.do/discursos/discurso-de-la-toma-de-posesion-2024-del-presidente-luis-abinader,2024-08-15T22:00:00Z,discurso_de_la_toma_de_posesin_2024_del_presidente_luis_abinader,data/raw/discursos/discurso_de_la_toma_de_posesin_2024_del_presidente_luis_abinader.pdf
Discurso de rendición de cuentas 2024 del presidente Luis Abinader,https://presidencia.gob.do/discursos/discurso-de-rendicion-de-cuentas-2024-del-presidente-luis-abinader,2024-02-26T23:00:00Z,discurso_de_rendicin_de_cuentas_2024_del_presidente_luis_abinader,data/raw/discursos/discurso_de_rendicin_de_cuentas_2024_del_presidente_luis_abinader.pdf
Discurso de rendición de cuentas del presidente Luis Abinader 2022-2023,https://presidencia.gob.do/discursos/discurso-de-rendicion-de-cuentas-del-presidente-luis-abinader-2022-2023,2023-02-26T23:00:00Z,discurso_de_rendicin_de_cuentas_del_presidente_luis_abinader_20222023,data/raw/discursos/discurso_de_rendicin_de_cuentas_del_presidente_luis_abinader_20222023.pdf
Discurso Presidente Luis Abinader en la Cumbre del Sistema de la Integración Centroamericana (SICA),https://presidencia.gob.do/discursos/discurso-presidente-luis-abinader-en-la-cumbre-del-sistema-de-la-integracion,2022-12-07T23:00:00Z,discurso_presidente_luis_abinader_en_la_cumbre_del_sistema_de_la_integracin_centroamericana_sica,data/raw/discursos/discurso_presidente_luis_abinader_en_la_cumbre_del_sistema_de_la_integracin_centroamericana_sica.pdf
Discurso del Presidente Luis Abinader en el segundo año de gestión,https://presidencia.gob.do/discursos/discurso-del-presidente-luis-abinader-en-el-segundo-ano-de-gestion,2022-08-15T22:00:00Z,discurso_del_presidente_luis_abinader_en_el_segundo_ao_de_gestin,data/raw/discursos/discurso_del_presidente_luis_abinader_en_el_segundo_ao_de_gestin.pdf
Palabras del presidente Luis Abinader ante la IX Cumbre de las Américas,https://presidencia.gob.do/discursos/palabras-del-presidente-luis-abinader-ante-la-ix-cumbre-de-las-americas,2022-06-09T22:00:00Z,palabras_del_presidente_luis_abinader_ante_la_ix_cumbre_de_las_amricas,data/raw/discursos/palabras_del_presidente_luis_abinader_ante_la_ix_cumbre_de_las_amricas.pdf
Palabras del presidente Luis Abinader ante la 75ª Asamblea Mundial de la Salud,https://presidencia.gob.do/discursos/palabras-del-presidente-luis-abinader-ante-la-75a-asamblea-mundial-de-la-salud,2022-05-21T22:00:00Z,palabras_del_presidente_luis_abinader_ante_la_75_asamblea_mundial_de_la_salud,data/raw/discursos/palabras_del_presidente_luis_abinader_ante_la_75_asamblea_mundial_de_la_salud.pdf
Palabras del presidente sobre medidas para estabilizar precio de los combustibles y de la canasta básica,https://presidencia.gob.do/discursos/palabras-del-presidente-sobre-medidas-para-estabilizar-precio-de-los-combustibles-y-de-la,2022-03-06T23:00:00Z,palabras_del_presidente_sobre_medidas_para_estabilizar_precio_de_los_combustibles_y_de_la_canasta_bsica,data/raw/discursos/palabras_del_presidente_sobre_medidas_para_estabilizar_precio_de_los_combustibles_y_de_la_canasta_bsica.pdf
