Arrestados segun edad sexo y nacionalidad,Número de arrestos,Periodo,Año
Mujeres,19,Abril-Junio,2020
Dominicanos,1468,Abril-Junio,2020
Extranjeros,65,Abril-Junio,2020
Edad 1 a 17,36,Julio-Septiembre,2020
Edad 18 a 25,653,Julio-Septiembre,2020
Edad 26 a 30,399,Julio-Septiembre,2020
Edad 31 a 35,340,Julio-Septiembre,2020
Edad 36 a 40,284,Julio-Septiembre,2020
Edad 41 a 45,200,Julio-Septiembre,2020
Edad 46 a 50,112,Julio-Septiembre,2020
Edad 51 a mas,345,Julio-Septiembre,2020
Hombres,2335,Julio-Septiembre,2020
Mujeres,34,Julio-Septiembre,2020
Dominicanos,2241,Julio-Septiembre,2020
Extranjeros,128,Julio-Septiembre,2020
Edad 1 a 17,35,Octubre-Diciembre,2020
Edad 18 a 25,712,Octubre-Diciembre,2020
Edad 26 a 30,456,Octubre-Diciembre,2020
Edad 31 a 35,377,Octubre-Diciembre,2020
Edad 36 a 40,327,Octubre-Diciembre,2020
Edad 41 a 45,227,Octubre-Diciembre,2020
Edad 46 a 50,161,Octubre-Diciembre,2020
Edad 51 a mas,1069,Octubre-Diciembre,2020
Hombres,3313,Octubre-Diciembre,2020
Mujeres,51,Octubre-Diciembre,2020
Dominicanos,3161,Octubre-Diciembre,2020
Extranjeros,203,Octubre-Diciembre,2020
Edad 1 a 17,52,Enero-Marzo,2021
Edad 18 a 25,1058,Enero-Marzo,2021
Edad 26 a 30,791,Enero-Marzo,2021
Edad 31 a 35,654,Enero-Marzo,2021
Edad 36 a 40,483,Enero-Marzo,2021
Edad 41 a 45,390,Enero-Marzo,2021
Edad 46 a 50,295,Enero-Marzo,2021
Edad 51 a mas,888,Enero-Marzo,2021
Hombres,4543,Enero-Marzo,2021
Mujeres,68,Enero-Marzo,2021
Dominicanos,4329,Enero-Marzo,2021
Extranjeros,282,Enero-Marzo,2021
Edad 1 a 17,54,Abril-Junio,2021
Edad 18 a 25,1226,Abril-Junio,2021
Edad 26 a 30,838,Abril-Junio,2021
Edad 31 a 35,656,Abril-Junio,2021
Edad 36 a 40,616,Abril-Junio,2021
Edad 41 a 45,426,Abril-Junio,2021
Edad 46 a 50,332,Abril-Junio,2021
Edad 51 a mas,772,Abril-Junio,2021
Hombres,4830,Abril-Junio,2021
Mujeres,90,Abril-Junio,2021
Dominicanos,4577,Abril-Junio,2021
Extranjeros,343,Abril-Junio,2021
Edad 1 a 17,74,Julio-Septiembre,2021
Edad 18 a 25,1146,Julio-Septiembre,2021
Edad 26 a 30,760,Julio-Septiembre,2021
Edad 31 a 35,555,Julio-Septiembre,2021
Edad 36 a 40,510,Julio-Septiembre,2021
Edad 41 a 45,374,Julio-Septiembre,2021
Edad 46 a 50,272,Julio-Septiembre,2021
Edad 51 a mas,102,Julio-Septiembre,2021
Hombres,4648,Julio-Septiembre,2021
Mujeres,72,Julio-Septiembre,2021
Dominicanos,4399,Julio-Septiembre,2021
Extranjeros,321,Julio-Septiembre,2021
Edad 1 a 17,88,Octubre-Diciembre,2021
Edad 18 a 25,1214,Octubre-Diciembre,2021
Edad 26 a 30,817,Octubre-Diciembre,2021
Edad 31 a 35,759,Octubre-Diciembre,2021
Edad 36 a 40,590,Octubre-Diciembre,2021
Edad 41 a 45,448,Octubre-Diciembre,2021
Edad 46 a 50,361,Octubre-Diciembre,2021
Edad 51 a mas,1443,Octubre-Diciembre,2021
Hombres,121,Octubre-Diciembre,2021
Mujeres,5599,Octubre-Diciembre,2021
Dominicanos,5265,Octubre-Diciembre,2021
Extranjeros,455,Octubre-Diciembre,2021
Edad 1 a 17,75,Enero-Marzo,2022
Edad 18 a 25,1480,Enero-Marzo,2022
Edad 26 a 30,1103,Enero-Marzo,2022
Edad 31 a 35,948,Enero-Marzo,2022
Edad 36 a 40,884,Enero-Marzo,2022
Edad 41 a 45,546,Enero-Marzo,2022
Edad 46 a 50,399,Enero-Marzo,2022
Edad 51 a mas,1413,Enero-Marzo,2022
Hombres,6727,Enero-Marzo,2022
Mujeres,121,Enero-Marzo,2022
Dominicanos,6372,Enero-Marzo,2022
Extranjeros,476,Enero-Marzo,2022
Edad 1 a 17,89,Abril-Junio,2022
Edad 18 a 25,1753,Abril-Junio,2022
Edad 26 a 30,1215,Abril-Junio,2022
Edad 31 a 35,958,Abril-Junio,2022
Edad 36 a 40,857,Abril-Junio,2022
Edad 41 a 45,608,Abril-Junio,2022
Edad 46 a 50,417,Abril-Junio,2022
Edad 51 a mas,1188,Abril-Junio,2022
Hombres,6953,Abril-Junio,2022
Mujeres,132,Abril-Junio,2022
Dominicanos,6503,Abril-Junio,2022
Extranjeros,582,Abril-Junio,2022
Edad 1 a 17,104,Julio-Septiembre,2022
Edad 18 a 25,1997,Julio-Septiembre,2022
Edad 26 a 30,1437,Julio-Septiembre,2022
