PAIS,CANTIDAD,TRIMESTRE,AÑO,,,,,
Costa Rica,1,Abril-Junio,2022,,,,,
Siria,1,Abril-Junio,2022,,,,,
Libano,1,Abril-Junio,2022,,,,,
Mexico,1,Abril-Junio,2022,,,,,
Yemen,1,Abril-Junio,2022,,,,,
Resto De Paises,6,Abril-Junio,2022,,,,,
España,10,Julio-Septiembre,2022,,,,,
Venezuela,7,Julio-Septiembre,2022,,,,,
Colombia,7,Julio-Septiembre,2022,,,,,
Cuba,6,Julio-Septiembre,2022,,,,,
Italia,3,Julio-Septiembre,2022,,,,,
Francia,3,Julio-Septiembre,2022,,,,,
Estados Unidos,3,Julio-Septiembre,2022,,,,,
Haiti,2,Julio-Septiembre,2022,,,,,
Peru,2,Julio-Septiembre,2022,,,,,
Rusia,2,Julio-Septiembre,2022,,,,,
Honduras,2,Julio-Septiembre,2022,,,,,
Ecuador,2,Julio-Septiembre,2022,,,,,
Guatemala,1,Julio-Septiembre,2022,,,,,
Portugal,1,Julio-Septiembre,2022,,,,,
Panama,1,Julio-Septiembre,2022,,,,,
Uruguay,1,Julio-Septiembre,2022,,,,,
Argentina,1,Julio-Septiembre,2022,,,,,
Mexico,1,Julio-Septiembre,2022,,,,,
Aruba,1,Julio-Septiembre,2022,,,,,
Chile,1,Julio-Septiembre,2022,,,,,
Venezuela,29,Octubre-Diciembre,2022,,,,,
Cuba,21,Octubre-Diciembre,2022,,,,,
Colombia,11,Octubre-Diciembre,2022,,,,,
Haiti,10,Octubre-Diciembre,2022,,,,,
España,8,Octubre-Diciembre,2022,,,,,
Italia,6,Octubre-Diciembre,2022,,,,,
Rusia,5,Octubre-Diciembre,2022,,,,,
Honduras,4,Octubre-Diciembre,2022,,,,,
Mexico,3,Octubre-Diciembre,2022,,,,,
Estados Unidos,2,Octubre-Diciembre,2022,,,,,
Francia,2,Octubre-Diciembre,2022,,,,,
Taiwan,2,Octubre-Diciembre,2022,,,,,
Ecuador,1,Octubre-Diciembre,2022,,,,,
Argentina,1,Octubre-Diciembre,2022,,,,,
Peru,1,Octubre-Diciembre,2022,,,,,
Rumania,1,Octubre-Diciembre,2022,,,,,
Siria,1,Octubre-Diciembre,2022,,,,,
Ucrania,1,Octubre-Diciembre,2022,,,,,
Belgica,1,Octubre-Diciembre,2022,,,,,
Iran,1,Octubre-Diciembre,2022,,,,,
Suiza,1,Octubre-Diciembre,2022,,,,,
China,1,Octubre-Diciembre,2022,,,,,
Paises Bajos,1,Octubre-Diciembre,2022,,,,,
Nicaragua,1,Octubre-Diciembre,2022,,,,,
Marruecos,1,Octubre-Diciembre,2022,,,,,
Venezuela,24,Enero-Marzo,2023,,,,,
Cuba,15,Enero-Marzo,2023,,,,,
España,8,Enero-Marzo,2023,,,,,
Colombia,7,Enero-Marzo,2023,,,,,
Rusia,6,Enero-Marzo,2023,,,,,
Estados Unidos,5,Enero-Marzo,2023,,,,,
Haiti,4,Enero-Marzo,2023,,,,,
Mexico,2,Enero-Marzo,2023,,,,,
Francia,2,Enero-Marzo,2023,,,,,
Ecuador,2,Enero-Marzo,2023,,,,,
El Salvador,2,Enero-Marzo,2023,,,,,
Italia,1,Enero-Marzo,2023,,,,,
Honduras,1,Enero-Marzo,2023,,,,,
Canada,1,Enero-Marzo,2023,,,,,
Argentina,1,Enero-Marzo,2023,,,,,
Peru,1,Enero-Marzo,2023,,,,,
Chile,1,Enero-Marzo,2023,,,,,
Guatemala,1,Enero-Marzo,2023,,,,,
Panama,1,Enero-Marzo,2023,,,,,
Polonia,1,Enero-Marzo,2023,,,,,
Suiza,1,Enero-Marzo,2023,,,,,
Cuba,18,Abril-Junio,2023,,,,,
Venezuela,10,Abril-Junio,2023,,,,,
Estados Unidos,4,Abril-Junio,2023,,,,,
Francia,3,Abril-Junio,2023,,,,,
Italia,3,Abril-Junio,2023,,,,,
España,2,Abril-Junio,2023,,,,,
Haiti,2,Abril-Junio,2023,,,,,
El Salvador,2,Abril-Junio,2023,,,,,
Peru,2,Abril-Junio,2023,,,,,
Nicaragua,2,Abril-Junio,2023,,,,,
Rusia,1,Abril-Junio,2023,,,,,
Ecuador,1,Abril-Junio,2023,,,,,
Guatemala,1,Abril-Junio,2023,,,,,
Suiza,1,Abril-Junio,2023,,,,,
Brasil,1,Abril-Junio,2023,,,,,
Serbia,1,Abril-Junio,2023,,,,,
Puerto Rico,1,Abril-Junio,2023,,,,,
Egipto,1,Abril-Junio,2023,,,,,
,,,,,,,,
,,,,,,,,
